goodsSn,상품명,정가,판매가,브랜드,대분류,중분류,썸네일URL,상품URL
P200197362,[클리어런스] 파피에 1시트 w735 패브릭 소파 스툴 포함(1인용),385000,,리바트 세계가구,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200197362/GM43928312_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200197362
P200089507,리르 w960 가죽 소파 오토만 컴팩트형,404000368000,9,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200089507/GM41849625_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200089507
P200178498,[클리어런스] 그래블 1시트 w750 패브릭 소파(1인용),417000266000,36,리바트 세계가구,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200178498/GM43514078_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200178498
P200196965,[클리어런스] 프랄리네 1시트 w800 패브릭 소파 암리스형(1인용),296000239000,19,리바트 세계가구,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200196965/GM43910721_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200196965
P200196966,[클리어런스] 프랄리네 w650 패브릭 소파 오토만,257000209000,19,리바트 세계가구,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200196966/GM43910740_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200196966
P200145554,[클리어런스] 오브니 소파 쿠션 원형 부클레,4400038000,14,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200145554/GM43588625_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200145554
P200196367,그란디오소 프리모 가죽 소파 쿠션,77000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200196367/GM43863894_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200196367
P200198705,NEW온드 패브릭 소파 쿠션,33000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200198705/GM43963878_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200198705
P200181191,[클리어런스] 아일레 패브릭 소파 이동형 쿠션,64000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200181191/GM43486548_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200181191
P200194621,[클리어런스] 네오 뉴탐 패브릭 소파 오토만 커버,2600021800,16,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200194621/GM43816473_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200194621
