goodsSn,상품명,정가,판매가,브랜드,대분류,중분류,배송유형,배송료,배송기간,사다리차_비용규정,직접운반_규정,현장설치_추가작업비,교환반품_배송비,교환반품_신청기간_조건,옵션목록,옵션별가격,썸네일URL,상품URL
P200195277,[클리어런스] 피노 토들러 우디 높이조절 책상,91000,,리바트 세계가구,키즈/주니어,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),기존 상품에 추가 연결/설치 시 현장 작업비용 별도 발생,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),,,https://static.hyundailivart.co.kr/upload_mall/goods/P200195277/GM43858450_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200195277
P200195255,[클리어런스] 텔츠 토들러 유아매트 200 X 120,284000207100,27,리바트,키즈/주니어,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),기존 상품에 추가 연결/설치 시 현장 작업비용 별도 발생,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),,,https://static.hyundailivart.co.kr/upload_mall/goods/P200195255/GM43855686_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200195255
P200195254,[클리어런스] 텔츠 토들러 유아매트 240 X 140,340000247900,27,리바트,키즈/주니어,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),기존 상품에 추가 연결/설치 시 현장 작업비용 별도 발생,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),,,https://static.hyundailivart.co.kr/upload_mall/goods/P200195254/GM43855698_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200195254
P200195253,[클리어런스] 텔츠 토들러 유아매트 280 X 140,380000277400,27,리바트,키즈/주니어,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),기존 상품에 추가 연결/설치 시 현장 작업비용 별도 발생,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),,,https://static.hyundailivart.co.kr/upload_mall/goods/P200195253/GM43855703_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200195253
P200195252,[클리어런스] 텔츠 토들러 유아매트 320 X 140,423000308700,27,리바트,키즈/주니어,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),기존 상품에 추가 연결/설치 시 현장 작업비용 별도 발생,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),,,https://static.hyundailivart.co.kr/upload_mall/goods/P200195252/GM43855707_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200195252
P200195250,[클리어런스] 텔츠 토들러 유아매트 240 X 280,661000483500,27,리바트,키즈/주니어,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),기존 상품에 추가 연결/설치 시 현장 작업비용 별도 발생,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),,,https://static.hyundailivart.co.kr/upload_mall/goods/P200195250/GM43855715_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200195250
P200195249,[클리어런스] 텔츠 토들러 유아매트 280 X 280,741000541500,27,리바트,키즈/주니어,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),기존 상품에 추가 연결/설치 시 현장 작업비용 별도 발생,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),,,https://static.hyundailivart.co.kr/upload_mall/goods/P200195249/GM43855719_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200195249
P200195248,[클리어런스] 텔츠 토들러 유아매트 320 X 280,830000607000,27,리바트,키즈/주니어,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),기존 상품에 추가 연결/설치 시 현장 작업비용 별도 발생,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),,,https://static.hyundailivart.co.kr/upload_mall/goods/P200195248/GM43855723_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200195248
P200195210,프라임 키즈 각도높이조절 책상+데스크패드 세트,505000385700,24,리바트,키즈/주니어,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),기존 상품에 추가 연결/설치 시 현장 작업비용 별도 발생,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),아이보리 책상 | 오크 책상 | 화이트 책상,"프라임 키즈 각도높이조절 책상(화이트) + 데스크패드: 406,000원 | 프라임 키즈 각도높이조절 책상(오크) + 데스크패드: 406,000원 | 프라임 키즈 각도높이조절 책상(아이보리) + 데스크패드: 406,000원",https://static.hyundailivart.co.kr/upload_mall/goods/P200195210/GM44087432_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200195210
P200195208,[클리어런스] 프라임 키즈 각도높이조절 책상+의자 세트,705000538600,24,리바트,키즈/주니어,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),기존 상품에 추가 연결/설치 시 현장 작업비용 별도 발생,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),아이보리 책상 | 오크 책상 | 화이트 책상 | 그레이 의자 | 베이지 의자 | 블루 의자 | 핑크 의자,"프라임 키즈 각도높이조절 책상(화이트) + 의자 (블루): 567,000원 | 프라임 키즈 각도높이조절 책상(화이트) + 의자 (핑크): 567,000원 | 프라임 키즈 각도높이조절 책상(화이트) + 의자 (그레이): 567,000원 | 프라임 키즈 각도높이조절 책상(오크) + 의자 (블루): 567,000원 | 프라임 키즈 각도높이조절 책상(오크) + 의",https://static.hyundailivart.co.kr/upload_mall/goods/P200195208/GM43825319_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200195208
P200194211,[클리어런스] 꼼므 4단 서랍장,344000303000,12,리바트,키즈/주니어,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),기존 상품에 추가 연결/설치 시 현장 작업비용 별도 발생,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),메이플블루 | 메이플핑크 | 화이트블루 | 화이트핑크,"꼼므 4단 서랍장 - 4단 서랍장(화이트블루): 319,000원 | 꼼므 4단 서랍장 - 4단 서랍장(메이플블루): 319,000원 | 꼼므 4단 서랍장 - 4단 서랍장(화이트핑크): 319,000원 | 꼼므 4단 서랍장 - 4단 서랍장(메이플핑크): 319,000원",https://static.hyundailivart.co.kr/upload_mall/goods/P200194211/GM43789489_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200194211
